group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,3,3,elements,2155019467.0,ns,1
Velocity,,3,3,elements,2156667297.0,ns,1
Velocity,,3,3,elements,2161549682.0,ns,1
Velocity,,3,3,elements,2183659548.0,ns,1
Velocity,,3,3,elements,2151139061.0,ns,1
Velocity,,3,3,elements,2159466019.0,ns,1
Velocity,,3,3,elements,2181504213.0,ns,1
Velocity,,3,3,elements,2171383122.0,ns,1
Velocity,,3,3,elements,2171669955.0,ns,1
Velocity,,3,3,elements,2155206998.0,ns,1
