group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,5,5,elements,3363171082.0,ns,1
Velocity,,5,5,elements,3330212780.0,ns,1
Velocity,,5,5,elements,3365010365.0,ns,1
Velocity,,5,5,elements,3399845568.0,ns,1
Velocity,,5,5,elements,3353650705.0,ns,1
Velocity,,5,5,elements,3375767711.0,ns,1
Velocity,,5,5,elements,3378064747.0,ns,1
Velocity,,5,5,elements,3443541425.0,ns,1
Velocity,,5,5,elements,3457078690.0,ns,1
Velocity,,5,5,elements,3356806226.0,ns,1
