group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,3600,3600,elements,988555675.0,ns,2
Size,,3600,3600,elements,997676570.0,ns,2
Size,,3600,3600,elements,994554446.0,ns,2
Size,,3600,3600,elements,1019756753.0,ns,2
Size,,3600,3600,elements,1009671113.0,ns,2
Size,,3600,3600,elements,1007413397.0,ns,2
Size,,3600,3600,elements,978444164.0,ns,2
Size,,3600,3600,elements,1006165921.0,ns,2
Size,,3600,3600,elements,987688398.0,ns,2
Size,,3600,3600,elements,1007138225.0,ns,2
