group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,2500,2500,elements,564270723.0,ns,2
Size,,2500,2500,elements,583604499.0,ns,2
Size,,2500,2500,elements,530356138.0,ns,2
Size,,2500,2500,elements,600978899.0,ns,2
Size,,2500,2500,elements,567709656.0,ns,2
Size,,2500,2500,elements,599685792.0,ns,2
Size,,2500,2500,elements,588729466.0,ns,2
Size,,2500,2500,elements,563141445.0,ns,2
Size,,2500,2500,elements,578062818.0,ns,2
Size,,2500,2500,elements,557582346.0,ns,2
