group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,10,10,elements,6089561517.0,ns,1
Velocity,,10,10,elements,6020062819.0,ns,1
Velocity,,10,10,elements,6172939701.0,ns,1
Velocity,,10,10,elements,6327528144.0,ns,1
Velocity,,10,10,elements,6296335336.0,ns,1
Velocity,,10,10,elements,5874355060.0,ns,1
Velocity,,10,10,elements,6144383191.0,ns,1
Velocity,,10,10,elements,6112115256.0,ns,1
Velocity,,10,10,elements,5922168775.0,ns,1
Velocity,,10,10,elements,6254489163.0,ns,1
