group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,4900,4900,elements,741928738.0,ns,1
Size,,4900,4900,elements,741194122.0,ns,1
Size,,4900,4900,elements,724776627.0,ns,1
Size,,4900,4900,elements,752600133.0,ns,1
Size,,4900,4900,elements,747147364.0,ns,1
Size,,4900,4900,elements,761084131.0,ns,1
Size,,4900,4900,elements,742851784.0,ns,1
Size,,4900,4900,elements,746955373.0,ns,1
Size,,4900,4900,elements,740184694.0,ns,1
Size,,4900,4900,elements,722897614.0,ns,1
