group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,1,1,elements,1419924903.0,ns,1
Velocity,,1,1,elements,1462144434.0,ns,1
Velocity,,1,1,elements,1444265548.0,ns,1
Velocity,,1,1,elements,1463265180.0,ns,1
Velocity,,1,1,elements,1435485342.0,ns,1
Velocity,,1,1,elements,1478079556.0,ns,1
Velocity,,1,1,elements,1466190240.0,ns,1
Velocity,,1,1,elements,1427600933.0,ns,1
Velocity,,1,1,elements,1451781918.0,ns,1
Velocity,,1,1,elements,1464813881.0,ns,1
