group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,3600,3600,elements,726585978.0,ns,1
Size,,3600,3600,elements,729330285.0,ns,1
Size,,3600,3600,elements,696719543.0,ns,1
Size,,3600,3600,elements,690059040.0,ns,1
Size,,3600,3600,elements,719885394.0,ns,1
Size,,3600,3600,elements,729609168.0,ns,1
Size,,3600,3600,elements,735049552.0,ns,1
Size,,3600,3600,elements,733523472.0,ns,1
Size,,3600,3600,elements,696792635.0,ns,1
Size,,3600,3600,elements,720280437.0,ns,1
