group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,6,6,elements,3869197307.0,ns,1
Velocity,,6,6,elements,3935085429.0,ns,1
Velocity,,6,6,elements,3960301476.0,ns,1
Velocity,,6,6,elements,3815483381.0,ns,1
Velocity,,6,6,elements,3865845183.0,ns,1
Velocity,,6,6,elements,3926113696.0,ns,1
Velocity,,6,6,elements,3928337932.0,ns,1
Velocity,,6,6,elements,3959154598.0,ns,1
Velocity,,6,6,elements,3916718311.0,ns,1
Velocity,,6,6,elements,3967817698.0,ns,1
