group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,10000,10000,elements,1840532523.0,ns,1
Size,,10000,10000,elements,1830941588.0,ns,1
Size,,10000,10000,elements,1807246471.0,ns,1
Size,,10000,10000,elements,1784549791.0,ns,1
Size,,10000,10000,elements,1777956174.0,ns,1
Size,,10000,10000,elements,1791782512.0,ns,1
Size,,10000,10000,elements,1821083148.0,ns,1
Size,,10000,10000,elements,1796920738.0,ns,1
Size,,10000,10000,elements,1793799276.0,ns,1
Size,,10000,10000,elements,1806275305.0,ns,1
