group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,6,6,elements,4605951278.0,ns,1
Velocity,,6,6,elements,4532752121.0,ns,1
Velocity,,6,6,elements,4791880756.0,ns,1
Velocity,,6,6,elements,4816719827.0,ns,1
Velocity,,6,6,elements,4435054378.0,ns,1
Velocity,,6,6,elements,4682778472.0,ns,1
Velocity,,6,6,elements,4638279887.0,ns,1
Velocity,,6,6,elements,4699339341.0,ns,1
Velocity,,6,6,elements,4789510302.0,ns,1
Velocity,,6,6,elements,4661282291.0,ns,1
