group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,400,400,elements,86639557.0,ns,12
Size,,400,400,elements,180198443.0,ns,24
Size,,400,400,elements,258603409.0,ns,36
Size,,400,400,elements,350135072.0,ns,48
Size,,400,400,elements,433634187.0,ns,60
Size,,400,400,elements,516894960.0,ns,72
Size,,400,400,elements,606392458.0,ns,84
Size,,400,400,elements,698353093.0,ns,96
Size,,400,400,elements,788971136.0,ns,108
Size,,400,400,elements,870397245.0,ns,120
