group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,6400,6400,elements,1403059513.0,ns,1
Size,,6400,6400,elements,1396674022.0,ns,1
Size,,6400,6400,elements,1349508126.0,ns,1
Size,,6400,6400,elements,1349444456.0,ns,1
Size,,6400,6400,elements,1405667731.0,ns,1
Size,,6400,6400,elements,1386728348.0,ns,1
Size,,6400,6400,elements,1390069979.0,ns,1
Size,,6400,6400,elements,1401788545.0,ns,1
Size,,6400,6400,elements,1269715320.0,ns,1
Size,,6400,6400,elements,1378430435.0,ns,1
