group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,8100,8100,elements,1412001452.0,ns,1
Size,,8100,8100,elements,1408261105.0,ns,1
Size,,8100,8100,elements,1409665474.0,ns,1
Size,,8100,8100,elements,1415601008.0,ns,1
Size,,8100,8100,elements,1414455578.0,ns,1
Size,,8100,8100,elements,1403750383.0,ns,1
Size,,8100,8100,elements,1402772297.0,ns,1
Size,,8100,8100,elements,1407671161.0,ns,1
Size,,8100,8100,elements,1398674388.0,ns,1
Size,,8100,8100,elements,1405663387.0,ns,1
