group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size,,6400,6400,elements,1011950059.0,ns,1
Size,,6400,6400,elements,1037790570.0,ns,1
Size,,6400,6400,elements,997750998.0,ns,1
Size,,6400,6400,elements,1013890253.0,ns,1
Size,,6400,6400,elements,1033914713.0,ns,1
Size,,6400,6400,elements,1018702907.0,ns,1
Size,,6400,6400,elements,1006662183.0,ns,1
Size,,6400,6400,elements,1022634333.0,ns,1
Size,,6400,6400,elements,1001585586.0,ns,1
Size,,6400,6400,elements,1032105470.0,ns,1
