group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,9,9,elements,5583020638.0,ns,1
Velocity,,9,9,elements,5640582161.0,ns,1
Velocity,,9,9,elements,5730053947.0,ns,1
Velocity,,9,9,elements,5644713079.0,ns,1
Velocity,,9,9,elements,5589575142.0,ns,1
Velocity,,9,9,elements,5680403789.0,ns,1
Velocity,,9,9,elements,5653249080.0,ns,1
Velocity,,9,9,elements,5744596550.0,ns,1
Velocity,,9,9,elements,5748538068.0,ns,1
Velocity,,9,9,elements,5455651386.0,ns,1
